 |Site1|Site2|Site3|Site4|Site5|Site6|Site7|Site8|Site9|Site10|Site11|Site12|Site13|Site14|Site15|Site16|Site17|Site18|Site19|Site20|Site21|Site22|Site23|Site24|Site25|Site26|Site27|Site28|Site29|Site30|Site31|Site32|Site33|Site34|Site35|Site36|Site37|Site38|Site39|Site40|Site41|Site42|Site43|Site44|Site45|Site46|Site47|Site48|Site49|Site50|Site51|Site52|Site53|Site54|Site55|Site56|Site57|Site58|Site59|Site60|Site61|Site62|Site63|Site64|Site65|Site66|Site67|Site68|Site69|Site70|Site71|Site72|Site73|Site74|Site75|Site76|Site77|Site78|Site79|Site80|Site81|Site82|Site83|Site84|Site85|Site86|Site87
|Imposing Visage|0|0|14|8|3|10|46|0|12|9|77|10|1|0|1|48|10|2|1|16|2|14|1|25|1|23|2|5|17|2|10|0|1|1|2|1|7|1|2|0|0|7|2|0|0|0|3|1|1|6|0|1|1|3|1|13|1|2|0|1|0|2|2|0|0|6|4|7|1|1|1|0|2|0|10|12|2|2|1|0|2|8|0|1|2|4|
|Incinerate|0|2|10|0|2|10|45|1|3|2|81|12|33|6|1|41|1|2|1|0|1|0|2|35|1|23|2|5|17|3|10|0|2|2|2|1|7|14|2|2|13|7|0|0|0|0|3|1|1|9|0|1|0|2|1|13|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|4|
|Jokulhaups|0|2|10|0|2|10|45|1|1|2|81|0|33|6|1|1|1|2|1|0|1|0|2|35|1|23|2|5|17|3|10|1|2|2|2|1|7|14|2|2|13|7|0|0|1|0|3|1|1|1|0|1|0|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|9|
|Karplusan Giant|0|0|10|0|2|10|45|1|5|4|0|5|33|6|1|1|1|2|1|1|1|0|2|10|1|1|2|0|1|3|10|1|2|2|2|1|7|14|2|2|13|7|0|0|1|0|3|1|1|1|0|1|0|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|6|
|Karplusan Yeti|1|1|10|12|1|10|4|1|1|7|10|5|33|6|1|1|1|2|1|1|1|0|2|4|6|1|1|0|1|3|10|8|2|2|2|0|7|14|2|0|13|7|0|4|1|0|3|1|1|1|0|1|0|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|4|
|Lava Burst|1|1|10|12|6|10|4|1|2|26|10|4|4|6|1|7|5|2|1|2|1|0|2|4|0|1|1|0|17|1|10|8|2|2|2|2|7|14|2|2|13|7|0|4|1|0|3|1|1|1|0|1|8|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|0|
|M�rton Stromgald|1|5|10|12|6|10|4|1|2|5|10|4|4|6|1|7|5|2|1|2|1|0|2|4|0|1|1|0|17|1|10|8|2|2|2|2|7|14|2|2|13|7|0|4|1|0|3|1|1|1|0|1|8|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|1|
|Melee|1|0|10|12|0|10|4|1|1|5|0|4|4|6|1|7|4|2|1|2|1|0|2|3|0|2|0|0|17|1|3|8|2|2|2|2|7|14|2|2|13|7|0|4|1|0|3|1|1|1|0|1|8|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|3|
|Melting|1|0|10|12|2|10|4|1|5|0|8|2|4|6|1|1|4|2|1|6|1|0|2|21|0|5|0|0|17|1|4|8|1|2|2|2|7|14|2|2|13|7|0|4|1|0|1|1|1|1|0|1|2|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|7|
|Meteor Shower|1|0|10|12|2|10|4|1|1|0|2|4|4|6|1|4|2|2|1|7|1|1|2|9|0|11|0|0|15|1|4|8|1|2|2|2|7|14|2|2|13|1|0|4|1|0|1|1|1|1|0|1|4|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|1|
|Mountain Goat|1|0|15|12|2|10|4|2|0|0|2|8|4|6|1|4|17|0|1|0|1|1|2|9|2|0|2|0|15|1|2|8|5|2|2|2|7|14|2|1|13|1|0|4|1|0|1|1|1|1|0|1|4|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|5|
|Mudslide|1|1|15|12|2|10|4|2|1|0|2|8|4|6|1|4|1|0|1|0|1|1|2|9|2|1|2|0|15|1|2|8|5|2|2|2|7|1|2|1|13|1|0|4|1|0|1|1|1|1|0|1|4|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|5|
|Orcish Cannoneers|1|1|15|12|3|10|4|2|3|2|2|8|1|6|1|4|3|0|1|0|1|1|2|6|1|10|2|2|1|1|2|8|2|2|2|2|7|1|2|1|13|1|0|4|1|0|1|1|1|1|0|1|4|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|7|
|Orcish Conscripts|1|0|13|12|6|10|4|2|1|18|12|7|1|6|1|14|2|0|1|29|1|1|2|0|2|12|2|2|8|1|0|8|2|2|2|2|7|1|2|1|13|1|0|4|1|0|0|1|1|1|0|1|4|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|7|
|Orcish Farmer|1|0|14|12|1|10|4|2|3|13|42|1|1|6|1|14|1|0|1|12|1|1|1|9|7|9|2|8|0|2|1|8|2|2|2|2|7|1|2|1|13|1|0|4|1|0|1|1|1|1|0|1|4|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|8|
|Orcish Healer|1|0|14|12|1|10|4|2|6|13|2|1|1|6|1|0|1|0|1|2|1|1|1|25|4|8|2|4|2|1|0|8|2|2|2|2|7|1|2|1|13|1|0|4|2|0|1|1|1|1|0|1|4|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|5|
|Orcish Lumberjack|4|0|14|2|1|10|8|4|2|12|2|15|0|6|1|1|21|0|1|0|1|1|1|10|4|3|2|4|13|1|4|8|2|2|2|1|7|6|2|1|13|2|0|4|3|0|1|1|1|1|0|1|8|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|0|
|Orcish Squatters|4|2|14|2|3|10|8|4|1|7|2|1|0|6|1|0|21|0|1|1|1|1|1|10|4|3|2|4|13|1|4|8|2|2|2|1|7|6|2|1|13|2|0|4|3|0|1|1|1|1|0|1|8|2|1|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|7|
|Panic|4|0|14|2|3|10|8|4|2|7|18|11|2|6|1|5|8|0|1|2|1|1|1|27|1|21|2|3|14|15|4|8|1|2|2|1|7|6|2|1|13|2|0|4|3|0|1|1|1|1|0|1|8|2|0|0|2|2|0|1|0|2|2|3|0|6|4|7|1|1|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|4|
|Pyroblast|34|0|14|0|3|10|4|4|2|4|18|11|29|6|1|5|8|0|1|2|1|1|1|98|1|21|2|2|2|15|4|8|23|2|2|1|3|6|2|7|19|2|0|4|3|5|1|1|1|1|0|1|8|2|0|0|0|2|0|1|0|0|2|3|0|6|4|7|1|0|1|0|1|1|10|12|2|2|1|0|2|8|0|1|2|9|
|Pyroclasm|73|1|14|3|26|5|173|2|23|4|1|20|18|49|1|0|21|1|1|1|0|0|2|0|1|1|2|2|12|2|4|1|54|0|2|2|6|3|2|2|34|1|0|19|3|5|1|6|1|1|0|14|8|2|13|0|1|0|2|8|2|1|8|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|4|
|Sabretooth Tiger|13|0|7|167|3|5|27|8|5|2|4|19|18|0|1|4|3|0|1|4|2|0|13|59|7|14|9|1|32|13|13|1|54|0|2|2|6|3|2|2|34|1|0|19|3|5|1|6|1|1|0|4|1|1|13|0|1|0|2|8|2|1|8|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|7|
|Stone Rain|13|0|0|120|3|5|27|8|13|4|74|26|16|24|1|23|7|17|5|1|1|0|4|47|11|1|0|0|10|14|4|4|21|5|2|1|6|1|16|0|4|1|11|0|4|5|3|2|2|1|0|4|20|1|2|0|3|0|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|0|
|Stone Spirit|13|0|2|120|0|5|27|8|1|4|8|26|16|24|1|1|4|17|5|1|1|0|1|2|1|1|0|0|1|14|0|4|21|5|2|1|6|2|16|0|4|1|11|0|4|5|3|2|2|1|0|4|20|1|2|0|3|0|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|7|
|Stonehands|13|0|2|120|11|5|27|8|6|4|25|4|16|24|1|8|3|17|5|1|1|0|1|3|1|11|0|0|6|6|0|4|0|5|2|1|6|2|16|0|4|1|11|0|4|5|3|2|2|1|0|4|20|1|2|0|3|0|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|6|
|Tor Giant|13|0|2|120|4|5|27|8|5|8|16|1|16|24|1|19|18|17|5|1|1|0|1|15|4|9|0|0|1|2|4|4|0|5|2|1|6|2|16|0|4|1|11|0|4|5|3|2|2|1|0|4|20|1|2|0|3|0|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|5|
|Total War|13|0|2|120|0|5|27|0|2|8|16|0|16|24|1|19|3|17|5|1|1|0|1|1|4|9|0|0|1|2|4|4|0|5|2|1|6|2|16|0|4|1|11|0|4|5|3|2|2|1|0|4|2|1|2|0|3|0|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|1|
|Vertigo|13|0|2|2|0|5|27|0|2|1|8|0|16|24|1|7|2|17|5|2|1|0|1|2|2|0|0|3|0|2|1|4|0|5|2|1|6|2|16|0|4|1|11|0|4|5|3|2|2|1|0|4|2|1|2|0|3|0|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|6|
|Wall of Lava|13|0|2|2|2|5|27|0|2|1|8|0|16|24|1|4|2|17|5|2|1|0|1|4|1|2|0|3|0|2|1|4|1|5|2|1|6|2|16|0|4|1|11|0|3|5|3|2|2|1|0|4|2|1|2|0|3|0|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|7|
|Word of Blasting|2|0|13|8|7|5|1|0|2|24|6|2|16|24|1|1|2|17|5|5|1|0|1|1|2|18|0|3|6|2|2|4|1|5|2|1|6|2|16|0|4|1|11|0|3|5|3|2|2|1|0|4|8|1|2|0|3|0|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|8|
|Adarkar Unicorn|2|0|13|8|10|5|1|3|5|24|33|2|16|24|1|0|0|17|5|5|1|0|1|1|8|29|0|8|1|5|5|4|3|5|2|1|6|2|16|0|4|1|11|0|3|5|3|2|2|1|0|4|8|1|2|0|3|0|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|5|
|Arctic Foxes|2|0|13|8|16|5|1|3|2|3|30|4|16|24|1|0|16|17|5|3|1|0|1|22|3|4|0|1|6|5|1|4|2|5|2|1|6|2|16|0|4|1|11|0|3|5|0|2|2|1|0|4|8|1|2|0|3|0|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|6|
|Arenson's Aura|2|0|1|8|9|5|1|3|10|4|5|1|16|24|1|8|19|17|5|10|1|0|1|3|7|1|0|1|11|9|8|4|1|5|2|1|6|2|4|0|4|3|11|0|0|5|0|2|2|1|0|4|8|1|2|0|3|0|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|7|
|Armor of Faith|2|0|3|8|9|5|1|1|6|4|0|8|16|24|1|1|8|1|5|2|1|0|4|3|2|9|0|1|20|6|3|4|1|5|2|1|6|2|6|0|4|3|11|0|0|5|3|2|2|1|0|4|0|1|2|0|3|2|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|3|
|Battle Cry|2|0|3|8|2|5|1|1|3|4|0|4|16|24|1|1|6|1|5|2|1|0|4|4|1|9|0|2|20|6|5|4|1|5|2|1|6|2|6|0|4|3|11|0|0|5|3|2|2|1|0|4|1|1|2|0|3|2|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|7|
|Black Scarab|2|0|3|8|2|5|1|1|1|4|0|4|16|24|1|1|6|1|5|0|1|0|4|4|1|8|0|2|20|6|1|4|1|5|2|1|6|2|6|0|4|3|11|0|0|5|3|2|2|1|0|4|1|1|2|0|3|2|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|6|
|Blessed Wine|2|0|5|8|2|5|1|1|2|4|14|13|16|24|1|13|14|1|5|1|1|0|3|15|2|0|0|3|32|2|5|4|2|5|2|1|6|2|6|0|4|3|11|0|0|5|2|2|2|1|0|4|1|1|2|0|3|2|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|1|
|Blinking Spirit|2|5|2|14|2|5|2|0|1|5|13|3|16|24|1|2|14|1|5|2|5|0|3|6|2|3|0|3|1|2|1|10|3|5|2|1|6|2|6|0|4|3|11|0|0|5|2|2|2|1|3|4|1|1|2|0|3|2|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|4|
|Blue Scarab|2|1|2|14|3|5|2|0|2|1|1|2|16|24|1|2|14|1|5|2|5|0|3|1|6|4|0|2|1|0|0|10|1|5|2|1|6|2|6|0|4|3|11|0|0|5|2|2|2|1|3|4|1|1|2|0|3|2|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|7|
|Call to Arms|2|1|2|14|3|5|2|0|3|1|1|2|16|24|1|2|14|1|5|2|5|0|3|1|6|2|0|2|1|0|0|10|1|5|2|1|6|2|6|0|4|3|11|0|0|5|1|2|2|1|3|4|1|1|2|0|3|2|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|5|
|Caribou Range|2|1|2|14|3|5|2|0|2|1|4|1|16|24|1|1|14|2|5|2|5|0|3|5|0|5|0|2|1|2|0|10|1|5|2|1|6|2|6|0|4|3|11|0|0|5|1|2|2|1|3|4|1|1|2|0|3|2|6|8|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|3|
|Circle of Protection: Black|19|0|4|76|3|5|2|6|5|26|77|21|32|24|1|46|7|1|5|40|8|0|2|46|0|12|6|2|4|0|3|10|27|5|2|1|6|2|1|0|4|3|1|0|0|5|3|2|2|2|3|4|4|1|5|0|3|1|4|8|4|0|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|0|
|Circle of Protection: Blue|26|0|14|64|10|5|2|2|22|97|0|6|11|24|2|192|0|0|5|26|5|0|2|76|3|6|2|9|0|2|5|10|5|5|2|1|6|1|4|0|4|0|4|0|0|5|2|2|2|1|3|4|3|1|5|0|3|1|4|8|3|0|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|4|
|Circle of Protection: Green|26|0|9|41|10|5|2|4|7|1|9|13|21|24|1|14|12|4|5|0|2|0|0|15|1|1|2|9|0|1|2|10|2|5|2|1|6|1|12|0|4|0|3|0|0|5|5|2|2|1|3|4|5|1|9|0|3|1|4|8|3|3|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|5|
|Circle of Protection: Red|26|0|9|10|10|5|2|4|1|1|6|1|0|24|2|14|0|2|5|6|2|0|2|0|9|1|1|9|2|2|0|10|2|5|2|1|6|1|7|0|4|0|1|0|1|5|5|2|2|1|3|4|1|1|3|0|3|1|7|1|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|1|
|Circle of Protection: White|4|0|11|97|3|5|2|8|6|41|106|17|15|24|2|90|45|1|5|0|2|1|14|133|2|1|1|9|8|3|20|10|72|5|2|1|6|0|7|2|4|0|12|0|1|5|3|2|2|1|3|4|1|2|10|0|0|2|9|1|0|2|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|9|
|Cold Snap|4|0|11|97|2|5|2|8|3|41|8|7|15|24|2|90|5|1|5|2|2|1|14|2|2|3|1|1|3|3|20|10|1|5|2|1|6|0|7|0|4|0|12|0|1|5|0|2|2|1|3|4|1|2|10|0|0|2|9|1|0|2|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|3|
|Cooperation|4|0|11|97|2|5|2|2|4|4|45|0|15|24|2|2|10|1|5|1|0|1|2|12|2|6|1|1|3|1|4|10|1|5|2|1|6|0|7|0|4|0|12|0|1|5|0|2|2|1|3|4|0|2|10|0|0|2|9|1|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|7|
|Death Ward|4|0|5|97|14|5|2|12|6|8|55|23|15|24|4|10|1|1|5|33|0|1|6|31|3|9|1|7|9|1|0|10|8|5|2|1|6|0|12|0|4|0|12|0|1|5|6|2|2|1|3|4|0|2|10|0|0|2|9|1|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|2|
|Drought|4|0|5|97|4|5|2|3|0|10|55|1|15|24|4|10|2|1|5|1|0|1|1|1|1|2|1|7|6|1|1|10|2|5|2|1|6|1|12|0|4|0|12|0|1|5|1|2|2|1|3|4|0|2|10|0|0|2|9|1|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|6|
|Elvish Healer|4|0|5|97|4|5|2|3|2|0|18|12|15|24|2|2|1|1|5|2|0|1|1|2|0|17|1|7|18|3|8|10|2|5|2|1|6|1|12|0|4|0|3|0|1|5|1|2|2|1|3|4|0|2|10|0|0|2|9|1|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|8|
|Energy Storm|4|0|5|97|0|5|2|3|2|4|18|12|15|24|2|2|5|1|5|1|0|1|1|2|0|0|1|7|2|3|8|10|2|5|2|1|6|1|12|0|4|0|3|0|1|5|1|2|2|1|3|4|0|2|10|0|0|2|9|1|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|0|
|Formation|4|2|5|97|0|5|2|3|1|4|1|12|15|24|2|2|5|1|5|1|0|1|1|2|0|0|1|7|2|3|8|10|2|5|2|1|6|1|12|0|4|0|3|0|1|5|1|2|2|1|3|4|0|2|10|0|0|2|9|1|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|0|
|Fylgja|4|0|5|97|3|5|2|3|8|2|2|5|15|24|1|2|4|1|5|7|0|1|1|16|0|7|1|3|2|1|8|10|1|5|2|1|6|0|12|0|4|0|3|0|1|5|1|2|2|1|3|4|1|2|10|0|0|2|9|1|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|2|
|General Jarkeld|4|0|5|97|3|5|2|3|4|2|2|5|15|24|1|2|4|1|5|1|0|1|1|16|0|7|1|3|2|1|8|10|1|5|2|1|6|0|12|2|4|0|3|0|1|5|1|2|2|1|3|4|1|2|10|0|0|2|9|1|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|3|
|Green Scarab|4|0|5|97|2|5|2|3|0|4|6|2|15|24|1|2|1|1|5|1|0|1|1|1|0|4|1|1|2|2|8|10|2|5|2|1|6|0|12|2|4|0|3|0|1|5|1|2|2|1|3|4|1|2|10|0|0|2|9|1|0|1|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|3|
|Hallowed Ground|4|0|5|97|4|5|2|3|3|1|6|0|15|24|1|2|10|1|5|1|0|1|1|14|0|3|1|1|5|2|1|10|2|5|2|1|6|0|12|2|4|0|3|0|1|5|1|2|2|1|3|4|1|2|10|0|0|2|9|1|0|3|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|5|
|Heal|4|0|2|97|1|5|2|5|2|24|15|1|15|24|1|22|14|1|5|7|0|1|1|4|5|20|1|1|10|3|3|10|3|5|2|1|6|0|12|2|4|0|3|0|1|5|1|2|2|1|3|4|1|2|10|0|0|2|9|1|0|3|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|9|
|Hipparion|4|0|4|97|1|5|2|0|0|4|5|3|15|24|1|29|14|1|5|2|0|1|4|2|5|5|1|1|2|2|1|10|0|5|2|1|6|0|12|2|4|0|3|0|1|5|4|2|2|1|3|4|1|2|10|0|0|2|9|1|0|3|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|9|
|Justice|4|0|2|97|2|5|2|1|3|11|5|2|15|24|1|2|1|1|5|7|0|1|3|5|0|5|1|1|1|2|2|10|3|5|2|1|6|2|12|0|4|0|3|0|1|5|0|2|2|1|3|4|0|2|1|0|0|2|9|1|0|3|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|6|
|Kelsinko Ranger|4|0|2|97|7|5|2|1|10|11|27|2|15|24|1|2|4|1|5|0|0|1|1|17|2|0|1|1|19|2|3|10|3|5|2|1|6|2|12|0|4|0|3|0|1|5|5|2|2|1|3|4|0|2|1|0|0|2|9|1|0|3|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|2|
|Kjeldoran Elite Guard|4|0|2|97|7|5|2|1|1|11|2|2|1|24|1|3|8|1|5|2|0|1|1|1|0|0|1|2|19|2|2|10|3|5|2|1|6|2|12|0|4|0|3|0|1|5|5|2|2|1|3|4|0|2|1|0|0|2|9|1|0|3|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|0|
|Kjeldoran Guard|3|0|2|97|5|5|2|4|6|10|64|0|1|24|1|1|14|1|5|1|0|1|1|9|2|8|1|1|3|2|3|10|3|5|2|1|6|2|12|0|4|0|3|0|1|5|1|2|2|1|3|4|2|2|1|0|0|2|9|1|0|3|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|5|
|Kjeldoran Knight|3|1|2|97|5|5|2|4|2|0|64|0|1|24|1|1|14|1|5|1|0|1|1|9|2|8|1|1|3|2|3|10|3|5|2|1|6|2|12|0|4|0|3|0|1|5|1|2|2|1|3|4|2|2|1|0|0|2|9|1|0|3|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|9|
|Kjeldoran Phalanx|3|1|2|97|5|5|2|4|0|0|64|0|1|24|1|1|14|1|5|2|0|1|1|9|2|8|1|1|3|2|3|10|3|5|2|1|6|2|12|1|4|0|3|0|1|5|1|2|2|1|3|4|2|2|1|0|0|2|9|1|0|3|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|6|
|Kjeldoran Royal Guard|1|0|1|0|4|5|3|4|1|11|2|1|1|2|1|2|1|1|5|5|2|1|0|10|1|2|1|1|1|2|4|4|3|5|2|1|1|2|12|0|4|0|3|1|1|5|1|2|2|1|3|4|2|2|1|0|0|2|9|1|0|3|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|1|
|Kjeldoran Skycaptain|1|0|2|0|1|5|3|4|2|4|4|0|1|2|1|5|5|1|5|4|2|1|5|9|1|4|1|1|6|2|3|4|3|5|2|1|1|2|12|0|4|0|3|1|1|5|1|2|2|1|3|4|2|2|1|0|0|2|9|1|0|3|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|7|
|Kjeldoran Skyknight|1|0|2|0|7|5|3|2|7|0|30|4|1|2|1|5|4|1|5|4|2|1|1|21|2|18|1|0|3|2|4|4|2|5|2|1|1|2|12|0|4|0|3|1|1|5|1|2|2|1|3|4|2|2|1|0|0|2|9|1|0|3|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|7|
|Kjeldoran Warrior|1|0|2|0|5|5|3|2|2|0|9|4|1|2|0|5|4|1|5|1|2|1|1|5|4|5|1|0|4|2|3|4|2|5|2|1|1|1|12|0|4|0|3|1|1|5|2|2|2|1|3|4|0|2|1|0|0|2|9|1|0|2|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|6|
|Lightning Blow|1|0|2|0|5|5|3|2|1|1|9|4|1|2|0|5|4|1|5|1|2|1|1|1|1|5|1|0|4|2|3|4|2|5|2|1|1|1|12|0|4|0|3|1|1|5|2|2|2|1|3|4|0|2|1|0|0|2|9|1|0|2|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|9|
|Lost Order of Jarkeld|1|0|2|0|1|5|3|2|0|1|9|4|1|2|0|5|4|1|5|1|2|1|1|1|1|5|1|0|4|2|3|4|2|5|2|1|1|1|12|0|4|0|3|1|1|5|2|2|2|1|3|4|0|2|1|0|0|2|9|1|0|2|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|5|
|Mercenaries|1|0|2|0|2|5|3|2|3|1|3|4|1|2|0|5|4|1|5|2|2|1|1|1|0|0|1|0|4|2|3|4|2|5|2|1|1|1|12|0|4|0|3|1|1|5|0|2|2|1|3|4|0|2|1|0|0|2|9|1|0|2|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|1|
|Order of the Sacred Torch|1|0|2|0|0|5|3|2|4|1|1|4|1|2|0|5|4|1|5|2|2|1|1|1|1|2|1|0|5|2|3|4|2|5|2|1|1|0|12|0|4|0|3|1|1|5|2|2|2|1|3|4|0|2|1|0|0|2|9|1|0|2|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|8|
|Order of the White Shield|1|0|2|0|0|5|3|2|3|1|6|0|1|2|0|0|4|1|1|3|2|1|1|7|0|2|1|0|2|2|3|4|2|5|2|1|1|0|12|0|4|2|3|1|2|5|2|2|2|1|3|4|0|2|1|0|0|2|9|1|0|2|1|3|0|16|4|0|6|0|1|0|2|1|10|12|2|2|1|0|2|8|0|1|2|9|
